enebakk_02uk: 248 utterances, 3769 original words, 3815 normalized words
enebakk_03gm: 422 utterances, 6695 original words, 6697 normalized words
enebakk_04gk: 291 utterances, 4088 original words, 4106 normalized words
eo: --skipped--
evje_01um: 240 utterances, 2063 original words, 2081 normalized words
evje_02uk: 239 utterances, 3458 original words, 3506 normalized words
evje_03gm: 282 utterances, 3436 original words, 3459 normalized words
evje_04gk: 322 utterances, 4340 original words, 4348 normalized words
flaa_01um: 214 utterances, 2976 original words, 2980 normalized words
flaa_02uk: 136 utterances, 1826 original words, 1828 normalized words
flaa_03gm: 253 utterances, 4981 original words, 5046 normalized words
flaa_04gk: 197 utterances, 2682 original words, 2708 normalized words
fredrikstad_01um: 360 utterances, 5170 original words, 5178 normalized words
fredrikstad_02uk: 381 utterances, 3555 original words, 3557 normalized words
fredrikstad_03gm: 236 utterances, 3217 original words, 3225 normalized words
fredrikstad_04gk: 277 utterances, 3502 original words, 3520 normalized words
fusa_01um: 201 utterances, 2872 original words, 2876 normalized words
fusa_02uk: 197 utterances, 2331 original words, 2347 normalized words
fusa_03gm: 265 utterances, 5471 original words, 5499 normalized words
fusa_04gk: 182 utterances, 2703 original words, 2707 normalized words
gauldal_01um: 264 utterances, 3482 original words, 3488 normalized words
gauldal_02uk: 234 utterances, 2584 original words, 2608 normalized words
gauldal_03gm: 235 utterances, 2987 original words, 2987 normalized words
gauldal_04gk: 300 utterances, 4689 original words, 4695 normalized words
gausdal_01um: 264 utterances, 3870 original words, 3894 normalized words
gausdal_04gk: 298 utterances, 4184 original words, 4184 normalized words
gausdal_05um: 248 utterances, 3556 original words, 3568 normalized words
gausdal_08gk: 319 utterances, 5924 original words, 5944 normalized words
gjesdal_01um: 318 utterances, 3764 original words, 3764 normalized words
gjesdal_02uk: 270 utterances, 4043 original words, 4063 normalized words
gjesdal_03gm: 270 utterances, 4973 original words, 5001 normalized words
gjesdal_04gk: 286 utterances, 4312 original words, 4350 normalized words
hammerfest_02uk: 204 utterances, 3711 original words, 3723 normalized words
hammerfest_03gm: 459 utterances, 5589 original words, 5597 normalized words
hammerfest_04gk: 401 utterances, 6307 original words, 6333 normalized words
hammerfest_06uk: 29 utterances, 156 original words, 156 normalized words
hattfjelldal_01um: 397 utterances, 5269 original words, 5299 normalized words
hattfjelldal_02uk: 334 utterances, 4470 original words, 4508 normalized words
hattfjelldal_03gm: 462 utterances, 6943 original words, 7007 normalized words
hattfjelldal_04gk: 458 utterances, 6129 original words, 6200 normalized words
heroeyMR_01um: 316 utterances, 4400 original words, 4486 normalized words
heroeyMR_02uk: 259 utterances, 2737 original words, 2755 normalized words
heroeyMR_03gm: 244 utterances, 2905 original words, 2915 normalized words
heroeyMR_04gk: 300 utterances, 4193 original words, 4229 normalized words
heroeyN_01um: 286 utterances, 3045 original words, 3077 normalized words
heroeyN_02uk: 327 utterances, 4373 original words, 4438 normalized words
heroeyN_03gm: 369 utterances, 6184 original words, 6198 normalized words
heroeyN_04gk: 307 utterances, 4573 original words, 4591 normalized words
hjartdal_01um: 267 utterances, 2821 original words, 2825 normalized words
hjartdal_02uk: 269 utterances, 2638 original words, 2640 normalized words
hjartdal_03gm: 260 utterances, 3473 original words, 3473 normalized words
hjartdal_04gk: 249 utterances, 3371 original words, 3393 normalized words
hjelmeland_01um: 221 utterances, 2950 original words, 2954 normalized words
hjelmeland_02uk: 260 utterances, 3621 original words, 3637 normalized words
