Fileid,a,aa,aaə,ae,ahi,ai,aik,aikk,as,ati,jae,oa,ua
27b,0.0780142,0.0780142,0.0,0.0,0.0,0.751773,0.0602837,0.0,0.0,0.0,0.0,0.0,0.0
28a,0.105839,0.0,0.0,0.828467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28b,0.121739,0.0,0.0,0.73913,0.0,0.0652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29a,0.0743494,0.0,0.0,0.0,0.0,0.732342,0.0,0.0,0.0,0.0,0.0,0.0,0.070632
29b,0.209913,0.0,0.0,0.0,0.0,0.612245,0.0,0.0,0.0,0.0,0.0,0.0,0.0962099
30a,0.183391,0.211073,0.0,0.0,0.0,0.550173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30b,0.121212,0.0,0.0,0.0538721,0.0,0.73064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31a,0.0,0.0,0.0,0.298851,0.0,0.551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31b,0.0723982,0.0,0.0,0.41629,0.0,0.346154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32a,0.0,0.0,0.0,0.0,0.0,0.820268,0.0554493,0.0,0.0,0.0,0.0,0.0,0.0
32b,0.0861678,0.0770975,0.0,0.0,0.0,0.680272,0.0,0.0,0.0589569,0.0,0.0,0.0,0.0
33a,0.0892857,0.0825893,0.0,0.0,0.0,0.763393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33b,0.097561,0.0,0.0,0.0,0.0,0.759146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.084507,0.0,0.0,0.0,0.0,0.74061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35a,0.166417,0.0764618,0.0,0.0,0.0,0.718141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35b,0.0960854,0.0640569,0.0,0.0,0.0,0.697509,0.0,0.0,0.0,0.0747331,0.0,0.0,0.0
36a,0.0689655,0.0,0.0,0.0,0.0,0.800766,0.0651341,0.0,0.0,0.0,0.0,0.0,0.0
36b,0.0604534,0.0,0.0,0.0,0.0,0.753149,0.0780856,0.0755668,0.0,0.0,0.0,0.0,0.0
37a,0.20122,0.0,0.0,0.22561,0.0,0.47561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37b,0.0796178,0.0,0.0,0.219745,0.0,0.601911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38a,0.0945946,0.209459,0.0,0.0,0.0,0.570946,0.0574324,0.0,0.0,0.0,0.0,0.0,0.0
38b,0.0815603,0.0992908,0.0,0.0,0.0,0.758865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39a,0.055,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39b,0.103448,0.0,0.0,0.0,0.0,0.806897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40a,0.178733,0.0,0.0,0.0,0.0,0.791855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40b,0.133166,0.0,0.0,0.0,0.0,0.801508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41a,0.0672269,0.117647,0.0,0.0,0.0,0.785714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41b,0.0744681,0.0,0.0,0.0,0.0,0.755319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42a,0.10101,0.0,0.0,0.0,0.0,0.801347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42b,0.169492,0.0,0.0,0.0,0.0,0.671186,0.0,0.0,0.0,0.0,0.0,0.0542373,0.0
43a,0.089701,0.0,0.0,0.744186,0.0,0.076412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43b,0.0,0.0,0.0,0.780069,0.0515464,0.0584192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44a,0.0,0.0,0.0,0.0608466,0.0,0.661376,0.0,0.0,0.0,0.0,0.0,0.0,0.0899471
44b,0.121094,0.0,0.0,0.0,0.0,0.597656,0.0,0.0,0.0,0.0,0.0,0.0,0.160156
45a,0.0816327,0.0,0.0,0.0,0.0,0.836735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45b,0.122222,0.0,0.0,0.0,0.0,0.737037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46a,0.0,0.255973,0.0,0.0,0.0511945,0.651877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46b,0.0,0.234742,0.0,0.0,0.0,0.704225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47a,0.0814332,0.0,0.0,0.364821,0.0,0.400651,0.0,0.0,0.0,0.0,0.0,0.0977199,0.0
47b,0.073955,0.0,0.0,0.405145,0.0,0.363344,0.0,0.0,0.0,0.0,0.0,0.122186,0.0
48a,0.0542857,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48b,0.0,0.0,0.0,0.0,0.0,0.930175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49a,0.09375,0.0,0.0,0.464286,0.0,0.433036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49b,0.08,0.0,0.0,0.533333,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50a,0.144254,0.0880196,0.0,0.0,0.0,0.650367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50b,0.091954,0.181034,0.0,0.0,0.0,0.663793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
