Fileid,o,oi,u,ua,uo,uu
01a,0.0,0.0,0.0,0.0,0.960993,0.0
01b,0.0,0.0,0.0,0.0,0.978788,0.0
02a,0.0,0.0,0.0,0.885057,0.109195,0.0
02b,0.0,0.0,0.0,0.903409,0.0,0.0
03a,0.171429,0.0761905,0.0,0.742857,0.0,0.0
03b,0.0692308,0.0,0.0,0.869231,0.0,0.0
04a,0.107477,0.0747664,0.0,0.803738,0.0,0.0
04b,0.0549451,0.0659341,0.0,0.857143,0.0,0.0
05a,0.3,0.0,0.0,0.647826,0.0,0.0
05b,0.224719,0.0,0.0,0.730337,0.0,0.0
06a,0.0,0.0,0.0,0.0,1.0,0.0
06b,0.0,0.0,0.0,0.0,0.98913,0.0
07a,0.0,0.0,0.0,0.0,0.974359,0.0
07b,0.0,0.0,0.0,0.0,0.949367,0.0
08a,0.0,0.0,0.0,0.0,0.937931,0.0
08b,0.0647482,0.057554,0.0,0.0,0.856115,0.0
09a,0.0,0.0,0.0,0.0,0.988281,0.0
09b,0.0,0.0,0.0,0.0,0.915966,0.0
10a,0.0,0.0,0.0,0.0,0.993151,0.0
10b,0.0,0.0,0.0,0.0,0.96129,0.0
11a,0.0,0.0,0.0,1.0,0.0,0.0
11b,0.0,0.0,0.0,0.993827,0.0,0.0
12a,0.0,0.0,0.0,0.0,0.96748,0.0
12b,0.0,0.0,0.0,0.0,0.979675,0.0
13a,0.0,0.0,0.0,0.0,0.967742,0.0
13b,0.0,0.0,0.0,0.0,0.92517,0.0
14a,0.0,0.0,0.0,0.0,0.937008,0.0
14b,0.0,0.0,0.0,0.0,0.990476,0.0
15a,0.0,0.0,0.0,0.0,0.982456,0.0
15b,0.0,0.0,0.0,0.0,0.97546,0.0
16a,0.149533,0.0,0.172897,0.64486,0.0,0.0
16b,0.208333,0.0,0.107143,0.619048,0.0,0.0
17a,0.0,0.0,0.0,0.0,0.933333,0.0
17b,0.0,0.0,0.0,0.0,0.938776,0.0
18a,0.0,0.0,0.0,0.0,0.983425,0.0
18b,0.0,0.0,0.0,0.0,0.976923,0.0
19a,0.0,0.0,0.0,0.0,0.977099,0.0
19b,0.0,0.0,0.0,0.0,0.958084,0.0
20a,0.296053,0.0,0.0,0.552632,0.125,0.0
20b,0.118881,0.0,0.0,0.566434,0.202797,0.0
21a,0.176871,0.0,0.0,0.755102,0.0,0.0
21b,0.258929,0.0,0.0,0.705357,0.0,0.0
22a,0.0,0.0,0.0,0.0,0.877193,0.0
22b,0.0,0.0,0.0,0.0,0.992248,0.0
23a,0.44,0.184,0.0,0.0,0.368,0.0
23b,0.210145,0.0652174,0.0,0.0,0.673913,0.0
24a,0.0,0.0,0.0,0.0,0.976562,0.0
24b,0.0,0.0,0.0,0.0,0.970414,0.0
25a,0.385827,0.0,0.0,0.574803,0.0,0.0
25b,0.259615,0.0,0.0,0.701923,0.0,0.0
26a,0.0,0.0,0.0,0.0,0.95614,0.0
26b,0.0,0.0,0.0,0.0,0.891667,0.0833333
27a,0.156716,0.0,0.0,0.768657,0.0,0.0
27b,0.198473,0.0,0.0,0.732824,0.0,0.0
28a,0.0,0.0,0.0,0.0,0.966245,0.0
28b,0.0,0.0,0.0,0.0,0.987421,0.0
29a,0.0,0.0,0.0,0.0,0.945946,0.0
29b,0.0,0.0,0.078125,0.0,0.89375,0.0
30a,0.335878,0.0,0.0,0.648855,0.0,0.0
30b,0.264706,0.0,0.092437,0.613445,0.0,0.0
31a,0.0634921,0.0,0.0,0.0,0.89418,0.0
31b,0.0,0.0,0.0,0.0,0.921739,0.0
32a,0.124031,0.100775,0.0,0.72093,0.0,0.0
32b,0.107527,0.0,0.0,0.860215,0.0,0.0
33a,0.25,0.0943396,0.0,0.608491,0.0,0.0
33b,0.418994,0.122905,0.0,0.452514,0.0,0.0
34,0.0,0.0,0.0,0.0,0.95,0.0
35a,0.227027,0.0756757,0.0,0.0,0.697297,0.0
35b,0.22619,0.0952381,0.0,0.0,0.654762,0.0
36a,0.0,0.0,0.0,0.0,0.972414,0.0
36b,0.0,0.0,0.0,0.0,0.956522,0.0
37a,0.408759,0.0,0.0,0.0,0.532847,0.0
37b,0.296,0.0,0.0,0.0,0.648,0.0
38a,0.234848,0.0,0.0,0.704545,0.0,0.0
38b,0.226415,0.0,0.0,0.716981,0.0,0.0
39a,0.0,0.0,0.0,0.0,0.947368,0.0
39b,0.0,0.0,0.0,0.0,0.961783,0.0
40a,0.536697,0.0,0.0,0.0,0.417431,0.0
40b,0.245455,0.142424,0.0,0.0,0.606061,0.0
41a,0.302752,0.100917,0.0,0.0,0.568807,0.0
41b,0.477064,0.100917,0.0,0.0779817,0.344037,0.0
42a,0.0,0.0,0.0,0.0,0.993464,0.0
42b,0.0,0.0,0.0,0.0,0.985401,0.0
43a,0.0,0.0,0.0,0.0,0.926267,0.0
43b,0.0,0.0,0.0,0.0,0.983051,0.0
44a,0.0,0.0,0.0,0.0,0.96347,0.0
44b,0.0,0.0,0.0,0.0,0.910959,0.0
45a,0.22449,0.17551,0.0,0.0,0.530612,0.0
45b,0.147541,0.057377,0.0,0.0,0.786885,0.0
46a,0.0,0.0,0.0,0.0,0.976744,0.0
46b,0.0,0.0,0.0,0.0,0.976562,0.0
47a,0.0,0.0,0.0,0.0,0.977679,0.0
47b,0.0,0.0,0.0,0.0,0.987952,0.0
48a,0.0,0.0,0.0,0.0,0.937931,0.0
48b,0.0,0.0,0.0,0.0,0.938776,0.0
49a,0.0,0.0,0.0,0.0,0.952703,0.0
49b,0.0,0.0,0.0,0.0,0.965517,0.0
50a,0.246914,0.0,0.0,0.716049,0.0,0.0
50b,0.126087,0.0,0.0,0.847826,0.0,0.0
