,01a,01b,02a,02b,03a,03b,04a,04b,05a,05b,06a,06b,07a,07b,08a,08b,09a,09b,10a,10b,11a,11b,12a,12b,13a,13b,14a,14b,15a,15b,16a,16b,17a,17b,18a,18b,19a,19b,20a,20b,21a,21b,22a,22b,23a,23b,24a,24b,25a,25b,26a,26b,27a,27b,28a,28b,29a,29b,30a,30b,31a,31b,32a,32b,33a,33b,34,35a,35b,36a,36b,37a,37b,38a,38b,39a,39b,40a,40b,41a,41b,42a,42b,43a,43b,44a,44b,45a,45b,46a,46b,47a,47b,48a,48b,49a,49b,50a,50b
01a,0.0,0.08158877117918834,0.8659435912682708,0.9586091979823536,0.9719982325916066,0.9243138769163927,0.9773303876653495,0.9786707989313048,0.9683751621959944,0.9712024957589932,0.13848737440769152,0.14890686484253976,0.14923322811947848,0.24438572671950784,0.12857681086321912,0.20969584643360148,0.19146546114578555,0.18419767081688374,0.1806863753219745,0.20453927249986137,0.9819917819297358,0.9752313561752705,0.13100374676685822,0.14934259999545543,0.20462854653727183,0.18094198148856866,0.2363490918646065,0.1974480490628209,0.19336071183467066,0.1292654924653852,0.9725765142771069,0.8728729430819097,0.14115538624720683,0.20753928266290356,0.13431275301988652,0.13449539395959528,0.13677371941532887,0.13586459353283833,0.8064852974349576,0.8199555618932411,0.960074903055888,0.8989662942622871,0.23991823403331272,0.1421702262154488,0.4990510666848089,0.41933119278861436,0.13470193258433777,0.12999484078559118,0.9623098954227793,0.9725356465823348,0.1323915828667426,0.22428351068136007,0.9089612546740727,0.9613737362972286,0.17428417161934318,0.12454793783624718,0.1422791268699021,0.20599895638385998,0.9707512380321931,0.9700076360555339,0.19033501321429047,0.1554661193674584,0.9332260670319866,0.9331965698251533,0.9248165732040324,0.9729060242305089,0.21457472721082937,0.2642469069997943,0.3187568278825233,0.13566616077388344,0.16697565567773506,0.3348915008056812,0.3806597016767883,0.9738719829659961,0.9746663995864885,0.19435938259513996,0.1779806016429939,0.3744043340092403,0.31948601146660377,0.5558081624195204,0.6456968095133662,0.13622875241543345,0.19951584526437213,0.2092910735393955,0.13188779265233458,0.18862084408485794,0.13111688335758423,0.28901405261482127,0.3966687150115984,0.1358415047658865,0.13121090212838446,0.13148760852234356,0.18764476561437257,0.16024543583785184,0.09440796275890713,0.13527434437860278,0.29923726856953897,0.9757706400333729,0.970674596062338
01b,0.08158877117918834,0.0,0.8720870323637451,0.9642039013354213,0.9775907755292433,0.9308067491377391,0.9828446477769791,0.9841605788316338,0.9738799528996941,0.9767775218495988,0.07187477378321415,0.1781376360790343,0.1827944598084413,0.17312319408309926,0.16457029581260307,0.2434670118331541,0.11800324043457568,0.12731011658169109,0.10782332993000175,0.13327075410601963,0.987453310791533,0.9807809405569059,0.1584255088674326,0.175185497245154,0.13052792740664806,0.11201572249582546,0.16644263504088966,0.12662917212508223,0.11290596828679712,0.1591540778332676,0.9781420660123645,0.8807460347425978,0.17989533222991036,0.1327609631144734,0.1594235136501302,0.1599182419947811,0.17098529004123564,0.17337208109532543,0.8100490000705488,0.8263235735263539,0.9656203574491187,0.9059967163259725,0.24663869744708675,0.17268432437624584,0.5441493971000488,0.4682512649992819,0.16054116158675283,0.1596425572439901,0.9678853471149887,0.9780971668062147,0.16146906841821074,0.25831377970057656,0.915701981894229,0.967070558678148,0.10287804988243043,0.07236410223345462,0.18259606732884992,0.2407737813962624,0.9762868327559427,0.9755458564106547,0.2188597192397567,0.1939159684263924,0.9395286100383228,0.9395402953762074,0.9313196204593922,0.9784888710267937,0.14332702207190653,0.29197047955832944,0.36180512598347875,0.1612728689531789,0.09713074284198016,0.3693505698955015,0.42566590570973634,0.9793975526091764,0.9801841824766596,0.2397800378894235,0.10243974582969295,0.409878261460997,0.351127264034696,0.5761654638552328,0.6602386862225199,0.16035790024830474,0.11916026707129672,0.1408359982790318,0.16035713914536245,0.1122824678684289,0.16786105666801343,0.31856553864788945,0.44060270392419154,0.1606973733670337,0.15907292027573436,0.16000348762986624,0.10876774362891144,0.1939281625304711,0.1436732804875582,0.16363684426152267,0.22561930456323107,0.9812884385952447,0.9761779524588013
02a,0.8659435912682708,0.8720870323637451,0.0,0.16715404211107474,0.21099151701516017,0.187538499253906,0.2839376228589798,0.2073837780614357,0.2415039463576363,0.26246693638121943,0.8736208780464295,0.8699280849650987,0.8707632772823253,0.8815683831810865,0.8709439726726919,0.8782823293146866,0.8729502306048382,0.8700348534647903,0.8734602018503597,0.87132308596544,0.1689028484766517,0.16905531811937316,0.8680173662395573,0.8796987709737635,0.8786673507780248,0.8704866215522697,0.8698211254772735,0.8807759767036055,0.8821351910742093,0.8726528154279055,0.2475106919833254,0.32392852306396797,0.865241522530205,0.8753679219721323,0.8748217744832975,0.8765282406197844,0.871655501356314,0.8727773159050848,0.33195547210756704,0.31483648486837434,0.24800796640493725,0.32733642869703444,0.8688403972025759,0.8768508894360613,0.6470825831925348,0.6143924056695251,0.8777914215528463,0.8725856091513324,0.2394815328552351,0.21438619456091948,0.8726985744766248,0.8792108609804115,0.19767810514600515,0.20157444669946498,0.8615797553690139,0.8785917515002083,0.8710989037643985,0.8773782417895594,0.22346069110186492,0.22855432973836973,0.8742820762616089,0.8714409134922629,0.21649585784143824,0.19845313401354434,0.25553593198264396,0.30045051543236023,0.8781344066722719,0.881974709500083,0.8022750849377194,0.878393380197136,0.8807002538510277,0.8924895941622569,0.886013268201221,0.3347034426279441,0.2764511427357437,0.8702763423638147,0.8676369377518108,0.8972004414642408,0.8938942729417042,0.8465528022907529,0.6289876222415381,0.8749601102083112,0.8775718657106077,0.8661386413156111,0.8760795706284338,0.874129991037457,0.868652187981866,0.8819879095880515,0.8879320889654871,0.8784816155496608,0.8735475620455343,0.8758552925994048,0.8776706905762013,0.8697826617249778,0.8742027729221747,0.8770334217656389,0.8944882326268102,0.2847948859995726,0.18017704543801505
02b,0.9586091979823536,0.9642039013354213,0.16715404211107474,0.0,0.18719363425728688,0.1446591785801051,0.17594970298031187,0.1015701318107234,0.1425989911947838,0.23388323150080362,0.9648401773713943,0.96230673751525,0.9642709172635229,0.9701726117735888,0.963341050650888,0.967166139938493,0.9627225365494997,0.9596687713186757,0.9655493530910686,0.9626248221011172,0.03418099701594349,0.024540593298202823,0.9618142926014485,0.9739612450518051,0.9703945334077148,0.9616179294605836,0.9577784446153718,0.9735898698035429,0.9743664913808807,0.9660408992301791,0.15246506930300116,0.3462773743822997,0.9572464432111731,0.9647697339127329,0.9688557001616757,0.9704722082105972,0.9647929090963937,0.9656335178700318,0.39188044570168823,0.38412992559488796,0.14123999740295304,0.32008733813987117,0.9582473765597991,0.970647391711528,0.7191619099161018,0.6996341142555519,0.9716916936246213,0.9660637232860741,0.2122308957820487,0.1915969786754078,0.9662848221851658,0.9700523092171474,0.17655703707782497,0.175217813162604,0.9533186010930422,0.9712811604817123,0.9635655666082972,0.9679275030734446,0.2033033078550014,0.2091419749056301,0.9654923150747757,0.9638481416048398,0.18200637942442607,0.1542444180550975,0.241980733862761,0.28589796580658056,0.9694489134276171,0.9653893187176877,0.8852240970537227,0.9723821595405494,0.9724462223890925,0.9699807759629245,0.9680278160334422,0.23086463730166562,0.1843258200518102,0.9630710955715651,0.95950143054367,0.9693012866465199,0.9740907681121818,0.9228365040288384,0.7089389958146602,0.9692955420028432,0.9689725647682995,0.9560430455150869,0.9696890867764557,0.9653678510279519,0.9604498964954719,0.9591081700249134,0.9751729709036745,0.972509159470181,0.967175778668207,0.9693979371431759,0.9694729396204457,0.9631642900176924,0.9672332851745566,0.97066606034223,0.974084761081634,0.18350720791957323,0.1449110794150252
03a,0.9719982325916066,0.9775907755292433,0.21099151701516017,0.18719363425728688,0.0,0.18204285718283922,0.15318391884500712,0.10685566385965972,0.13910795406338639,0.1321618181328138,0.978063433384516,0.9754804408753541,0.9776317725346778,0.9834768639823092,0.9766406310720653,0.9501886147490866,0.9761633910973336,0.9730038923809478,0.9788301388616211,0.9760262050666624,0.17671287572872474,0.17715280348045345,0.9753118401835893,0.9872120004692828,0.98365665235299,0.9750253760543153,0.9712236587189115,0.9868140575099495,0.9876126725197457,0.9793342424047778,0.1731045208197676,0.2944367578377996,0.9706383079846242,0.9780740526392241,0.9821743034298263,0.9837555451399022,0.9780672987218644,0.9788960422603877,0.3346566699261526,0.3635301526524772,0.17317622287816017,0.2873105676101388,0.9718164767463953,0.9838538858930047,0.6518140948143011,0.6601816266255572,0.9849392685020382,0.979387909689739,0.09826334288669114,0.07328501545134095,0.9796685090272409,0.9833169923149873,0.17142651130290318,0.07348453389995023,0.9669245648186285,0.9845588593747796,0.9768470618395595,0.9811684692950786,0.08855654322443218,0.11289524095420315,0.9607483381433749,0.9771890966575864,0.10865064143059629,0.17271563558106773,0.13879164266913327,0.14283862556611907,0.9827483466983411,0.9294986026564686,0.8449998602964833,0.9856425338263651,0.9857439934222546,0.934828947853347,0.9406341355034238,0.2400020390447247,0.18296792348422664,0.9764165657046532,0.9730138109659549,0.9266098861714266,0.9307810917991935,0.8767691174839515,0.6386606964086811,0.9826290657731889,0.9822871478642249,0.9694887732564469,0.9829123265744304,0.9787068007552374,0.9738009800553442,0.91440720463086,0.9482831724793758,0.9857600673823055,0.9804815643785574,0.982632276645687,0.9826838322657926,0.9766459496652145,0.9805491213155065,0.9839647021911563,0.987368915292406,0.18331782735216762,0.08521819526085804
03b,0.9243138769163927,0.9308067491377391,0.187538499253906,0.1446591785801051,0.18204285718283922,0.0,0.20500067563275678,0.13311940542545195,0.15687612923253932,0.2219631525029152,0.9327802933443837,0.9287958339014123,0.9292740684560096,0.9399366311059913,0.9288172783535922,0.9209444321363494,0.9320714408611672,0.9277215071981818,0.9324239314312409,0.9297842429763402,0.13936183289776685,0.13683339790232144,0.9264189908180073,0.938150054066727,0.9371294556517545,0.9282396708293413,0.9281198873894153,0.9395533859235335,0.9408067780652923,0.9311667364420358,0.1800201618906199,0.26811601528431966,0.9231213111860789,0.933498194618685,0.9334186082997052,0.9349869926857245,0.9302282418478983,0.9309916925840304,0.33867249180751186,0.35091347565280295,0.1237541395493212,0.21474951800385556,0.9257709912646538,0.9355985515752447,0.6457645102355422,0.6377461950540094,0.9362298087403896,0.9309999856486201,0.2118338851894892,0.168922643659416,0.9308333058116274,0.9347350560676014,0.052032890555031935,0.15185184086383183,0.9202218826012971,0.9373506283740548,0.9291234368240894,0.9330712310449156,0.19354390990090542,0.21233823521189285,0.9186681079333772,0.928984148762399,0.0961035475249309,0.022440424924634893,0.15306759458095306,0.2628617174038386,0.9362945395345923,0.9080429874528974,0.8255412098750199,0.9367410777376824,0.938931193932988,0.903977612966799,0.9071365034108512,0.22377625498991874,0.12989533314650284,0.9283189793785868,0.9261100974083617,0.8986522443085767,0.9153120864088274,0.863484707973608,0.6313715113331112,0.933723222887148,0.9364257444074888,0.9240691937489421,0.9346782160333977,0.9326045120526952,0.9260495096771638,0.9017331908299772,0.9217029143448352,0.9369071977602937,0.9320563716210657,0.9343605345658464,0.9365138981692468,0.9276133663174376,0.9320126969660755,0.9350434207215826,0.9538741288250465,0.1893640089922141,0.13801867357432848
04a,0.9773303876653495,0.9828446477769791,0.2839376228589798,0.17594970298031187,0.15318391884500712,0.20500067563275678,0.0,0.09498070061407608,0.1608278804341989,0.2287772608531602,0.9834163816820564,0.9809036061483599,0.982900682538085,0.9886953241039222,0.9819600954845685,0.95961509471147,0.9814061800335269,0.978352654044572,0.9841341347185087,0.9812916885728965,0.18279112899941918,0.17926050318301714,0.9805296586002882,0.9924132892541052,0.9889004500524603,0.9802983751298923,0.9765292755690096,0.9920385966238046,0.9928113896880656,0.9846211134548181,0.197248746416083,0.37698419711828773,0.9759861644248673,0.9833695688800644,0.9874051207164366,0.988985209514424,0.9833849282512771,0.984207765194153,0.37813307366892507,0.40140081327151206,0.1659869354764015,0.30019183233831614,0.9770318500094191,0.9891322886815649,0.6949867847130667,0.7017579027433625,0.9901746111582869,0.9846539986534965,0.23065101306485444,0.21009132044599954,0.984892032235953,0.9885645596264722,0.20882357137422258,0.20245982659483697,0.9721991381118184,0.9897815573344381,0.9821757132309651,0.9864619892374925,0.22115737368126645,0.24027867563250307,0.9698309487463995,0.9824730233207303,0.14016027500425604,0.1969247696043889,0.2047276180366152,0.25568963274745443,0.9879802728967935,0.9427529920939869,0.8626289274778185,0.9908594561605875,0.9909348750950621,0.9507497321887892,0.9547755730237403,0.20361974304338945,0.1957236401779968,0.9817103089480456,0.9782549921235363,0.9443281025891751,0.9445855154772286,0.8937665274112612,0.6680419470593844,0.9878452862916106,0.9875190610268136,0.9748186280859663,0.9881928342335883,0.9839727856757615,0.9791273754353362,0.9281230924804094,0.9597944811743075,0.9909816189339734,0.9857440443865085,0.9879092871665688,0.9879759911471924,0.9818506663402052,0.9858014681482237,0.9891799748813487,0.9925460495870211,0.1711889794648687,0.19634015449328887
04b,0.9786707989313048,0.9841605788316338,0.2073837780614357,0.1015701318107234,0.10685566385965972,0.13311940542545195,0.09498070061407608,0.0,0.11475158353485705,0.20855547029640167,0.9847693144034269,0.9822792025168582,0.9842211812350472,0.9899949574481508,0.9832928897453309,0.9659363589289734,0.9827195963889134,0.9796923773618978,0.9854692917876863,0.9826091918115877,0.09181311697183209,0.09169173882092659,0.9818316050388711,0.9937112258387515,0.9902113830612906,0.9816133516841644,0.9778571729227038,0.9933460256585258,0.994108822314845,0.9859479484999268,0.1332148320209582,0.3180252800846835,0.9773280720812871,0.9846942410081194,0.9887137476496556,0.9902925446273741,0.9847225768718902,0.9855407386486245,0.3696496378249063,0.37888565085953646,0.12551989343631215,0.2918481005210048,0.9783199563266969,0.9904585119113979,0.6842746539883264,0.6834027421806864,0.9914838526857014,0.9859729797965847,0.18967192083334786,0.15275187859646944,0.986194361839897,0.9898777965706221,0.15283470543223251,0.14258164864553782,0.9735204618475994,0.9910879344710132,0.9835128049239105,0.9877906174087355,0.17326635859243247,0.1872023734873721,0.9752522358197235,0.9837912687174953,0.09360013513877931,0.13044215329938869,0.1609098679275598,0.20977414606725153,0.9892846348535187,0.9532221830573778,0.869041413844655,0.9921617780338484,0.9922260097022945,0.963231105578303,0.96543733764284,0.19922136347247146,0.1427550188849583,0.9830355875632879,0.9795641941321072,0.9586062367174931,0.9559123052035373,0.9038664022386493,0.6740658512983234,0.9891502564453537,0.9888283365088325,0.9761533313624501,0.9895185237850184,0.9852907656943185,0.9804586782153254,0.9394444822983395,0.9683874078058762,0.992286134180486,0.9870626330549594,0.9892330334722742,0.9893063637040628,0.9831439454706024,0.9871112763994555,0.9904789793655685,0.9938337011929654,0.15031772496289017,0.1373985520000231
05a,0.9683751621959944,0.9738799528996941,0.2415039463576363,0.1425989911947838,0.13910795406338639,0.15687612923253932,0.1608278804341989,0.11475158353485705,0.0,0.13888744331164002,0.9745747086446195,0.9721121801605007,0.9739626283214196,0.979834452055655,0.9731079326960579,0.9522930745065037,0.9723847655398616,0.9694872251548885,0.9752494893729162,0.9723290791864917,0.15058895155698335,0.15168455426864888,0.9714772659623775,0.9835741711325355,0.9800592963482991,0.9713633982814606,0.9675470211889444,0.9832123994400274,0.9839740583119957,0.9757420654864272,0.12049369196905084,0.2902472712741623,0.9670530484885007,0.9745137899875428,0.9784994260674851,0.9801173708970893,0.9745196742431766,0.9753709478378019,0.316908993933587,0.36184697845985897,0.07869843895065678,0.21177926830389948,0.9680002317573932,0.9803172452126513,0.6594264974191687,0.6624987985227603,0.9813391207015734,0.975752883621099,0.0787459840536672,0.07742970394677433,0.9759527144543784,0.9797142575708436,0.12261218011097713,0.0934591103217241,0.9630463285209209,0.9809097814629837,0.973331898351527,0.9776331921124201,0.06679834797008029,0.13189805050760262,0.9506879380156309,0.9736007985297027,0.1567338822011636,0.13678656126372232,0.17197978014352933,0.19078577082428902,0.9791223593335961,0.9275182452776264,0.8469100495054112,0.9820172614178175,0.9820749401726819,0.912674696272076,0.9218396501873566,0.13295108935067848,0.09192576785035954,0.9728094061646032,0.9691929654017858,0.9010272760993221,0.9340317828324801,0.8763320579580777,0.6400660794503515,0.9789179708075991,0.9786151602358539,0.9658445070748974,0.9793707616381163,0.9750646504976249,0.9702536350456179,0.9206011281789602,0.9469913077869433,0.982143784324113,0.9768542222140785,0.9790822309093311,0.9791599774347016,0.9728407023435245,0.9769378936865701,0.9803212916592092,0.9836910259574924,0.07480166017661442,0.11026199657657065
05b,0.9712024957589932,0.9767775218495988,0.26246693638121943,0.23388323150080362,0.1321618181328138,0.2219631525029152,0.2287772608531602,0.20855547029640167,0.13888744331164002,0.0,0.9773041826382411,0.9747407991584943,0.976821158253007,0.982628120212817,0.9758227595512565,0.9584716488145829,0.975352698860435,0.9721808092239262,0.9780468531484776,0.9752046564409224,0.23403543882823144,0.23497217236605084,0.974476245574022,0.9863788696352316,0.9828313881943176,0.9741797234209847,0.9703996869016166,0.9859978267667072,0.9867805596467824,0.9785314436055806,0.21807049033982895,0.3341102425075933,0.9698280624628005,0.9772474652092616,0.9813554212615038,0.9829314834014973,0.9772777049399136,0.9780901763033665,0.32721203377774827,0.3718911081790633,0.16871046845418577,0.2469064534159845,0.9709112002594621,0.9830599573417643,0.6893651000290292,0.6924237640729184,0.9841171594477988,0.9785733072378529,0.10492884955794436,0.07279778936327873,0.9788267738584588,0.9824985149382718,0.18421907268149326,0.08028498828251136,0.966110215768473,0.9837397031479734,0.9760387830740238,0.9803656453416852,0.09150143845155582,0.13862785809070013,0.9569958091481906,0.9763451013360437,0.23384325060503783,0.20416246616289221,0.24758308293472583,0.23452262406548793,0.9819053298311604,0.9374156836410114,0.8584759166358024,0.984810205483056,0.9848898029106657,0.9255957704330021,0.932893042704768,0.19389692648994816,0.1811445807878438,0.9755957182945858,0.9721831406587458,0.9158934843926314,0.9441453449815901,0.8882147161898136,0.6567383151343699,0.9818117431036525,0.9814701260030884,0.9686661527411723,0.9821125684637719,0.9778870551130853,0.9729653253102333,0.9305951403049589,0.9552261905649478,0.9849327087215936,0.9796700479898252,0.981827246507907,0.9818921730520888,0.975783286104377,0.9797056811733489,0.9831171963737316,0.9865160010617989,0.1477144973197422,0.0995579529468746
