Fileid,D,W,ar,d,er,h,j,jj,l,n,r,s,t,tt,v,vv,w,wv,ww,yr,ä,är,δ
07b,0.0,0.0,0.0,0.0,0.0,0.0,0.690476,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952381,0.0,0.0,0.0,0.0,0.0,0.0
08a,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.12,0.0,0.06,0.0,0.0,0.0,0.0
08b,0.0,0.0,0.0,0.0,0.0,0.0,0.648649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675676,0.0,0.135135,0.0540541,0.0,0.0,0.0,0.0,0.0
09a,0.0,0.0,0.0,0.0,0.0,0.192593,0.259259,0.318519,0.0,0.0,0.0,0.0,0.0666667,0.0,0.0,0.0,0.111111,0.0,0.0,0.0,0.0,0.0,0.0
09b,0.0,0.0,0.0,0.0,0.0,0.166667,0.462963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0740741,0.0,0.240741,0.0,0.0,0.0,0.0,0.0,0.0
10a,0.0,0.0,0.0,0.0,0.0,0.170213,0.404255,0.0851064,0.0,0.0,0.0,0.0,0.0,0.0,0.191489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10b,0.0,0.0,0.0,0.0,0.0,0.0,0.523256,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,0.244186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11a,0.0,0.0,0.118557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0515464,0.0
11b,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0530303,0.0,0.0,0.0
12a,0.0,0.0,0.0,0.0,0.0,0.0,0.0930233,0.0852713,0.0,0.0,0.0,0.0,0.0,0.0,0.302326,0.426357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12b,0.0,0.0,0.0,0.0,0.0,0.0,0.308642,0.209877,0.0,0.0,0.0,0.0,0.0,0.0,0.185185,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13a,0.0,0.0,0.0,0.0,0.0,0.223881,0.179104,0.0,0.0,0.0,0.0,0.0,0.0597015,0.0,0.164179,0.0,0.164179,0.104478,0.0,0.0,0.0,0.0,0.0
13b,0.0,0.0,0.0,0.0,0.0,0.141304,0.315217,0.0869565,0.0,0.0543478,0.0,0.0,0.108696,0.0,0.0,0.0,0.141304,0.0543478,0.0652174,0.0,0.0,0.0,0.0
14a,0.0,0.0,0.0,0.0,0.0,0.0,0.0689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586207,0.183908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14b,0.0,0.0,0.0,0.0,0.0,0.0810811,0.315315,0.0990991,0.0,0.0,0.0,0.0,0.0,0.0,0.27027,0.117117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15a,0.0,0.0,0.0,0.0,0.0,0.106557,0.245902,0.147541,0.0,0.0,0.0,0.0,0.106557,0.0,0.172131,0.204918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15b,0.0,0.0,0.0,0.0,0.0,0.0964912,0.175439,0.105263,0.0,0.0,0.0,0.0,0.149123,0.0,0.27193,0.157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16b,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.715909,0.0,0.0568182,0.0568182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17a,0.0,0.0,0.0,0.0,0.0,0.104478,0.179104,0.0,0.0,0.0,0.0,0.0,0.19403,0.0,0.104478,0.0,0.313433,0.0,0.0,0.0,0.0,0.0,0.0
17b,0.0,0.0,0.0,0.0,0.0,0.146667,0.36,0.0533333,0.0,0.0,0.0,0.0,0.0,0.0,0.213333,0.0,0.213333,0.0,0.0,0.0,0.0,0.0,0.0
18a,0.0,0.0,0.0,0.0,0.0,0.151515,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136364,0.0,0.121212,0.0,0.0,0.0,0.0,0.0,0.0
18b,0.0,0.0,0.0,0.0,0.0,0.084507,0.295775,0.0,0.0,0.0,0.0,0.0,0.112676,0.0,0.295775,0.0,0.0985916,0.0,0.0,0.0,0.0,0.0,0.0
19a,0.0,0.0,0.0,0.0,0.0,0.0,0.566265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19b,0.0,0.0,0.0,0.0,0.0,0.0,0.336842,0.0,0.0,0.0842105,0.0,0.0,0.136842,0.0,0.284211,0.0,0.0736842,0.0,0.0,0.0,0.0,0.0,0.0
20a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.842857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901639,0.0,0.0,0.0,0.0,0.057377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21a,0.0,0.0,0.0,0.0610687,0.0,0.0,0.0,0.0,0.0,0.0,0.816794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21b,0.0,0.0,0.0,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.794643,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514286,0.257143,0.0,0.0,0.171429,0.0,0.0,0.0,0.0,0.0,0.0
22b,0.0,0.0,0.0,0.0,0.0,0.230769,0.153846,0.0,0.0,0.0,0.0,0.0,0.153846,0.153846,0.0,0.0,0.307692,0.0,0.0,0.0,0.0,0.0,0.0
23a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824324,0.0,0.0,0.0,0.175676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897196,0.0,0.0,0.0,0.0934579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24a,0.0,0.0,0.0,0.0,0.0,0.0714286,0.0714286,0.0982143,0.0,0.0,0.0,0.0,0.0892857,0.0,0.241071,0.419643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24b,0.0,0.0,0.0,0.0,0.0,0.0,0.150442,0.39823,0.0,0.0,0.0,0.0,0.150442,0.0,0.132743,0.132743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25a,0.0,0.0,0.0,0.0,0.0,0.0,0.0823529,0.0588235,0.0,0.0,0.752941,0.0,0.0588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26a,0.0,0.0,0.0,0.0,0.0,0.0,0.352941,0.0705882,0.0,0.0,0.0,0.0,0.129412,0.0,0.235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26b,0.0,0.0,0.0,0.0,0.0,0.0538462,0.146154,0.0,0.0,0.0,0.0,0.0,0.0692308,0.0,0.392308,0.130769,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0
27a,0.0,0.0,0.0,0.457143,0.0,0.0,0.0,0.0,0.0,0.0,0.335714,0.0,0.114286,0.0785714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27b,0.0,0.0,0.0,0.0769231,0.0,0.0,0.0,0.0,0.0,0.0,0.853846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28a,0.0,0.0,0.0,0.0,0.0,0.0537634,0.354839,0.193548,0.0,0.0,0.0,0.0,0.0,0.0,0.27957,0.11828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28b,0.0,0.0,0.0,0.0,0.0,0.091954,0.344828,0.16092,0.0,0.0,0.0,0.0,0.0574713,0.0,0.172414,0.137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29a,0.0,0.0,0.0,0.0,0.0,0.34375,0.1875,0.0,0.0,0.0,0.0,0.0,0.078125,0.0,0.265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
