Fileid,o,oe,oi,oo,os,ot,u,ua,ui,uo,ö
26b,0.0631229,0.0,0.883721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27a,0.495069,0.0,0.343195,0.0,0.114398,0.0,0.0,0.0,0.0,0.0,0.0
27b,0.438127,0.0,0.45485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28a,0.461783,0.477707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28b,0.672783,0.262997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29a,0.481328,0.0,0.365145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29b,0.414847,0.0,0.515284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30a,0.511401,0.0,0.296417,0.0,0.140065,0.0,0.0,0.0,0.0,0.0,0.0
30b,0.441767,0.0,0.39759,0.0,0.0763052,0.0,0.0,0.0,0.0,0.0,0.0
31a,0.522659,0.132931,0.308157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31b,0.420366,0.279373,0.182768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32a,0.261702,0.0,0.674468,0.0,0.0553191,0.0,0.0,0.0,0.0,0.0,0.0
32b,0.222222,0.0,0.679739,0.0,0.0947712,0.0,0.0,0.0,0.0,0.0,0.0
33a,0.619149,0.0,0.325532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33b,0.636364,0.0,0.345455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.193676,0.0,0.747036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35a,0.0837989,0.0,0.868715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35b,0.259912,0.0,0.700441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36a,0.553435,0.0,0.416031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36b,0.369403,0.0,0.58209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37a,0.32,0.246667,0.346667,0.0733333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37b,0.430678,0.100295,0.342183,0.0619469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38a,0.553371,0.0,0.33427,0.0,0.0,0.0702247,0.0,0.0,0.0,0.0,0.0
38b,0.628655,0.0,0.274854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39a,0.526316,0.0,0.328947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39b,0.579755,0.0,0.340491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
